Country,Year,Technology or Sector,Topic,Indicator,Indicator Categories,Unit,Value,Number of observations,updated_at
Cyprus,2014,Important energy consumers,Employment,Gender wage gap by education level,Upper secondary education,Percent,9.957051277160645,214,1659539394367
Denmark,2014,Energy generation and distribution,Employment,Gender employment gap by contract type,Permanent contract,Percent,-51.62451934814453,3628,1659539394367
Hungary,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by firm size,Small,Percent,15.681289672851562,1027,1659539394367
Germany,2014,Energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-78.49678802490234,14662,1659539394367
Germany,2018,Energy,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-13.304800033569336,4170,1659539394367
Netherlands,2010,Energy,Employment,Gender employment gap by education level,Upper secondary education,Percent,-80.25908660888672,1491,1659539394367
Lithuania,2014,Non-energy,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-2.27974796295166,17237,1659539394367
Czech Republic,2014,Non-energy,Employment,Gender employment gap by education level,Tertiary education,Percent,3.1878700256347656,236548,1659539394367
Slovak Republic,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by education level,Upper secondary education,Percent,-85.1247329711914,2561,1659539394367
Italy,2010,Energy generation and distribution,Employment,Gender gap in hours worked by contract type,Permanent contract,Percent,-6.234943866729736,3210,1659539394367
United States,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender employment gap by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-68.2071533203125,598,1659539394367
Czech Republic,2010,Important energy consumers,Employment,Gender gap in hours worked by education level,Tertiary education,Percent,-1.3028379678726196,4113,1659539394367
Germany,2014,Energy generation and distribution,Employment,Gender wage gap by education level,Upper secondary education,Percent,-13.422659873962402,8029,1659539394367
Germany,2018,Total,Employment,Gender employment gap by contract type,Temporary contract,Percent,7.974435806274414,67797,1659539394367
Sweden,2010,Total,Employment,Gender wage gap conditional on skills by education level,Upper secondary education,Percent,-14.100950241088867,48098,1659539394367
United Kingdom,2014,Non-energy,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-19.493560791015625,34806,1659539394367
Belgium,2010,Non-energy,Employment,Gender employment gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-28.819440841674805,13562,1659539394367
Latvia,2018,Important energy consumers,Employment,Gender wage gap by education level,Less than upper secondary education,Percent,-3.6304140090942383,239,1659539394367
Bulgaria,2018,Important energy consumers,Employment,Gender employment gap by firm size,Medium,Percent,-75.03692626953125,660,1659539394367
Latvia,2010,Important energy consumers,Employment,Gender gap in hours worked,,Percent,-1.1203850507736206,4653,1659539394367
Czech Republic,2014,Energy,Employment,Gender employment gap by contract type,Temporary contract,Percent,-66.51251983642578,15709,1659539394367
Sweden,2010,Non-energy,Employment,Gender wage gap conditional on skills by firm size,Medium,Percent,-12.61266040802002,7486,1659539394367
Hungary,2010,Important energy consumers,Employment,Gender wage gap conditional on skills by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-4.5134758949279785,1581,1659539394367
Slovenia,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender gap in hours worked by occupation level,High level (Managers; Professionals; Technicians and associate professionals),Percent,-12.116609573364258,357,1659539394367
Norway,2014,Energy generation and distribution,Employment,Gender wage gap,,Percent,-7.81955623626709,15452,1659539394367
Sweden,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-9.521270751953125,460,1659539394367
Greece,2014,Energy,Employment,Gender employment gap by education level,Tertiary education,Percent,-49.04335021972656,464,1659539394367
Poland,2010,Energy,Employment,Gender wage gap conditional on skills by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-14.337630271911621,4024,1659539394367
Netherlands,2014,Important energy consumers,Employment,Gender gap in hours worked by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-24.113250732421875,312,1659539394367
Estonia,2018,Energy generation and distribution,Employment,Gender wage gap conditional on skills,,Percent,-29.785619735717773,1904,1659539394367
Norway,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by firm size,Small,Percent,-14.348190307617188,838,1659539394367
Croatia,2018,Non-energy,Employment,Gender employment gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,51.83700180053711,12452,1659539394367
France,2014,Energy,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-8.851312637329102,4684,1659539394367
Bulgaria,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by contract type,Permanent contract,Percent,-30.557859420776367,3394,1659539394367
Hungary,2018,Energy generation and distribution,Employment,Gender employment gap by contract type,Permanent contract,Percent,-57.955780029296875,2859,1659539394367
Croatia,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills,,Percent,-5.152256965637207,362,1659539394367
Germany,2010,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by contract type,Temporary contract,Percent,-14.574150085449219,155,1659539394367
Portugal,2010,Energy generation and distribution,Employment,Gender wage gap conditional on skills by education level,Tertiary education,Percent,-19.695629119873047,415,1659539394367
Belgium,2018,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by education level,Tertiary education,Percent,-6.738626956939697,1411,1659539394367
Spain,2018,Non-energy,Employment,Gender wage gap by occupation level,"Low level (Service and sales workers; Skilled agricultural, forestry and fishery workers; Elementary occupations)",Percent,-14.239109992980957,28190,1659539394367
Luxembourg,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap by occupation level,"Middle level (Clerical support workers; Craft and related trades workers; Plant and machine operators, and assemblers)",Percent,-1.9111520051956177,125,1659539394367
Latvia,2014,Services/goods that are essential to fixed capital investment with implications for energy supply and use,Employment,Gender wage gap conditional on skills by firm size,Large,Percent,-28.497949600219727,188,1659539394367
Germany,2018,Important energy consumers,Employment,Gender employment gap by contract type,Permanent contract,Percent,-74.34967803955078,7805,1659539394367
Romania,2018,Important energy consumers,Employment,Gender employment gap by education level,Less than upper secondary education,Percent,-76.044677734375,198,1659539394367
Malta,2014,Total,Employment,Gender gap in hours worked by contract type,Temporary contract,Percent,-6.138986110687256,893,1659539394367
Luxembourg,2010,Important energy consumers,Employment,Gender wage gap by education level,Tertiary education,Percent,-40.80936050415039,80,1659539394367
